Comb., Node, uX, uY, uZ, rotX, rotY , rotZ
LC1, 1675, 0, 0, 0, 0, 0, 0
LC1, 312, 0, 0, 0, 0, 0, 0
LC1, 313, 0, 0, 0, 0, 0, 0
LC1, 1691, 0, 0, 0, 0, 0, 0
LC1, 321, 0, 0, 0, 0, 0, 0
LC1, 322, 0, 0, 0, 0, 0, 0
LC1, 1692, 0, 0, 0, 0, 0, 0
LC1, 1625, 0, 0, 0, 0, 0, 0
LC1, 1758, 0, 0, 0, 0, 0, 0
LC1, 1785, 0, 0, 0, 0, 0, 0
LC1, 1618, 0, 0, 0, 0, 0, 0
LC1, 1619, 0, 0, 0, 0, 0, 0
LC1, 1644, 0, 0, 0, 0, 0, 0
LC1, 362, 0, 0, 0, 0, 0, 0
LC1, 1767, 0, 0, 0, 0, 0, 0
LC1, 1130, 0, 0, 0, 0, 0, 0
LC1, 1768, 0, 0, 0, 0, 0, 0
LC1, 1616, 0, 0, 0, 0, 0, 0
LC1, 1626, 0, 0, 0, 0, 0, 0
LC1, 1648, 0, 0, 0, 0, 0, 0
LC1, 1702, 0, 0, 0, 0, 0, 0
LC1, 1703, 0, 0, 0, 0, 0, 0
LC1, 1734, 0, 0, 0, 0, 0, 0
LC1, 1678, 0, 0, 0, 0, 0, 0
LC1, 1583, 0, 0, 0, 0, 0, 0
LC1, 1750, 0, 0, 0, 0, 0, 0
LC1, 1595, 0, 0, 0, 0, 0, 0
LC1, 1733, 0, 0, 0, 0, 0, 0
LC1, 1109, 0, 0, 0, 0, 0, 0
LC1, 1749, 0, 0, 0, 0, 0, 0
LC1, 342, 0, 0, 0, 0, 0, 0
LC1, 1586, 0, 0, 0, 0, 0, 0
LC1, 1684, 0, 0, 0, 0, 0, 0
LC1, 326, 0, 0, 0, 0, 0, 0
LC1, 1577, 0, 0, 0, 0, 0, 0
LC1, 1685, 0, 0, 0, 0, 0, 0
LC1, 1582, 0, 0, 0, 0, 0, 0
LC1, 318, 0, 0, 0, 0, 0, 0
LC1, 1689, 0, 0, 0, 0, 0, 0
LC1, 300, 0, 0, 0, 0, 0, 0
LC1, 1756, 0, 0, 0, 0, 0, 0
LC1, 1114, 0, 0, 0, 0, 0, 0
LC1, 1604, 0, 0, 0, 0, 0, 0
LC1, 1571, 0, 0, 0, 0, 0, 0
LC1, 1596, 0, 0, 0, 0, 0, 0
LC1, 1125, 0, 0, 0, 0, 0, 0
LC1, 1597, 0, 0, 0, 0, 0, 0
LC1, 1649, 0, 0, 0, 0, 0, 0
LC1, 1731, 0, 0, 0, 0, 0, 0
LC1, 1720, 0, 0, 0, 0, 0, 0
LC1, 1713, 0, 0, 0, 0, 0, 0
LC1, 1746, 0, 0, 0, 0, 0, 0
LC1, 1624, 0, 0, 0, 0, 0, 0
LC1, 1757, 0, 0, 0, 0, 0, 0
LC1, 1787, 0, 0, 0, 0, 0, 0
LC1, 1110, 0, 0, 0, 0, 0, 0
LC1, 1770, 0, 0, 0, 0, 0, 0
LC1, 1658, 0, 0, 0, 0, 0, 0
LC1, 1613, 0, 0, 0, 0, 0, 0
LC1, 1659, 0, 0, 0, 0, 0, 0
LC1, 1115, 0, 0, 0, 0, 0, 0
LC1, 1603, 0, 0, 0, 0, 0, 0
LC1, 1117, 0, 0, 0, 0, 0, 0
LC1, 1131, 0, 0, 0, 0, 0, 0
LC1, 1124, 0, 0, 0, 0, 0, 0
LC1, 1594, 0, 0, 0, 0, 0, 0
LC1, 1743, 0, 0, 0, 0, 0, 0
LC1, 1615, 0, 0, 0, 0, 0, 0
LC1, 1661, 0, 0, 0, 0, 0, 0
LC1, 1126, 0, 0, 0, 0, 0, 0
LC1, 1707, 0, 0, 0, 0, 0, 0
LC1, 1127, 0, 0, 0, 0, 0, 0
LC1, 1704, 0, 0, 0, 0, 0, 0
LC1, 1587, 0, 0, 0, 0, 0, 0
LC1, 1672, 0, 0, 0, 0, 0, 0
LC1, 1585, 0, 0, 0, 0, 0, 0
LC1, 1584, 0, 0, 0, 0, 0, 0
LC1, 1673, 0, 0, 0, 0, 0, 0
LC1, 1765, 0, 0, 0, 0, 0, 0
LC1, 1722, 0, 0, 0, 0, 0, 0
LC1, 1717, 0, 0, 0, 0, 0, 0
LC1, 1779, 0, 0, 0, 0, 0, 0
LC1, 1621, 0, 0, 0, 0, 0, 0
LC1, 1620, 0, 0, 0, 0, 0, 0
LC1, 1647, 0, 0, 0, 0, 0, 0
LC1, 1747, 0, 0, 0, 0, 0, 0
LC1, 1771, 0, 0, 0, 0, 0, 0
LC1, 1774, 0, 0, 0, 0, 0, 0
LC1, 1782, 0, 0, 0, 0, 0, 0
LC1, 1784, 0, 0, 0, 0, 0, 0
LC1, 1598, 0, 0, 0, 0, 0, 0
LC1, 1754, 0, 0, 0, 0, 0, 0
LC1, 1759, 0, 0, 0, 0, 0, 0
LC1, 353, 0, 0, 0, 0, 0, 0
LC1, 1591, 0, 0, 0, 0, 0, 0
